영화제목,아이디,평점,댓글
너의 목소리,star****,5,일본 애니 특유의 유치함과 오글거림이 느껴집니다. 10대들은 보면 재미있을지 모르겠지만 20대 이상은 유치하다고 느낄 것 같네요. 특히 인물 그림체가 별로 입니다. 음악만 좀 괜찮습니다.
레릭,yunu****,10,TV에서 하던 거 봤던 기억이 있는데 여주 살려고 물속에 들어가 숨는 장면은 아직까지도 기억남음
시간을 달리는 소녀,yomm****,4,소녀상 망언 감독.. 애니 수준은 높아서 4점줍니다.
랑종,hika****,1,"페이크 다큐형식으로 진행한 영화입니다. 최근들어 유튜브를 통행 공포이야기에 대해 관심을 갖게 되었고, 돌비라디오를 통해 여러가지 이야기에 대해 알게 되었고, 이 영화가 개봉한다는 것을 알게되었습니다. 랑종은 태국말로 무당이라는 뜻이었고, 한국 무속신앙과 매우 유사함이 있음을 알게 되었습니다. 영화를 보니. 초반도입부는 뭐 그러려니 하는데. 본인이 섬기는 신에 대해 설명해주고, 이 신은 여자들에게만 오고 무당의 언니가 신내림 받기 싫어서 동생에게 떠 넘겨 무당이 되었고, 갑자기 무당 언니의 딸인 님에게서 신병 증세가 나타나 이상현상이 생기면서 이야기가 진행하게 됩니다. REC라면 개인이 카메라를 갖고 촬영을 해서 뭔가 1인칭 입장에서 겪는 공포를 보여주고자 했는데, 이건 ㅋㅋ 진짜 다큐식인데 억지로 짜맞춘 촬영방식이 영화를 잘 모르는 제가봐도 역겹더라구요.  님이 라는 애가 직장에서 짤리게 되는데 사장이 물건이 하나둘씩 사라지니 확인하려고 cctv를 봤는데 님이 아무 남자나 사업장에 데리고 와서 성관계를 하는 모습을 보고 짜르게 됩니다. 근데 굳이 이딴 영상을 넣을 필요가 있었을까. 합니다. 굳이 시청제한도 18세로 올리고, 왜 넣었는지는 전 남친(오빠의 아들 => 나무에 목메달고 자살함)의 빙의되서 남자들과 이런관계를 가졌다는 말을 하는데, 참 스토리도 3류인데 왜 자살했는지 나오지도 않고, 봉사하시는 할머니가 돌아간 이유도 안나오고, 스토리도 뻔합니다. 마지막에 님에 몸에 들어간 악귀를 퇴치하려고 하는데 절대 부적으로 봉한 딸의 방의 문을 열면 안되는데 열어버려서 악귀 봉인 실패하고, 퇴마의식 치르던분 다 죽고, 관련된 분들 다 죽는 뻔한 이야기~~~ 마지막에는 REC 찍는 줄 알았습니다. 갑자기 좀비영화 되요 ㅋㅋ 이유는 개고기를 팔다보니 원한이 쌓여서 그 혼들이 빙의를 한거겠죠... 이유는 알겠으나 너무 삼류 영화에요. 곡성이랑은 너무 비교가 됩니다."
랑종,hika****,1,"페이크 다큐형식으로 진행한 영화입니다. 최근들어 유튜브를 통행 공포이야기에 대해 관심을 갖게 되었고, 돌비라디오를 통해 여러가지 이야기에 대해 알게 되었고, 이 영화가 개봉한다는 것을 알게되었습니다. 랑종은 태국말로 무당이라는 뜻이었고, 한국 무속신앙과 매우 유사함이 있음을 알게 되었습니다. 영화를 보니. 초반도입부는 뭐 그러려니 하는데. 본인이 섬기는 신에 대해 설명해주고, 이 신은 여자들에게만 오고 무당의 언니가 신내림 받기 싫어서 동생에게 떠 넘겨 무당이 되었고, 갑자기 무당 언니의 딸인 님에게서 신병 증세가 나타나 이상현상이 생기면서 이야기가 진행하게 됩니다. REC라면 개인이 카메라를 갖고 촬영을 해서 뭔가 1인칭 입장에서 겪는 공포를 보여주고자 했는데, 이건 ㅋㅋ 진짜 다큐식인데 억지로 짜맞춘 촬영방식이 영화를 잘 모르는 제가봐도 역겹더라구요.  님이 라는 애가 직장에서 짤리게 되는데 사장이 물건이 하나둘씩 사라지니 확인하려고 cctv를 봤는데 님이 아무 남자나 사업장에 데리고 와서 성관계를 하는 모습을 보고 짜르게 됩니다. 근데 굳이 이딴 영상을 넣을 필요가 있었을까. 합니다. 굳이 시청제한도 18세로 올리고, 왜 넣었는지는 전 남친(오빠의 아들 => 나무에 목메달고 자살함)의 빙의되서 남자들과 이런관계를 가졌다는 말을 하는데, 참 스토리도 3류인데 왜 자살했는지 나오지도 않고, 봉사하시는 할머니가 돌아간 이유도 안나오고, 스토리도 뻔합니다. 마지막에 님에 몸에 들어간 악귀를 퇴치하려고 하는데 절대 부적으로 봉한 딸의 방의 문을 열면 안되는데 열어버려서 악귀 봉인 실패하고, 퇴마의식 치르던분 다 죽고, 관련된 분들 다 죽는 뻔한 이야기~~~ 마지막에는 REC 찍는 줄 알았습니다. 갑자기 좀비영화 되요 ㅋㅋ 이유는 개고기를 팔다보니 원한이 쌓여서 그 혼들이 빙의를 한거겠죠... 이유는 알겠으나 너무 삼류 영화에요. 곡성이랑은 너무 비교가 됩니다."
블랙 위도우,k350****,10,
발신제한,nolo****,5,조우진 연기 말고는 볼게 아무것도 없다. 보는 내내 답답하고 빨리 결말이 나기만 기다리게 되는
블랙 위도우,egte****,10,오랜만에 마블영화 재밌게 봄
더 웨이 홈,woal****,10,짱짱  벨라 너무너무 귀여워요~~
스페이스 잼: 새로운 시대,kitt****,6,"중딩때 봤던 1편에 비하면 유치함이 과도하다. 하지만, 워너 브라더스 여러 작품들을 녹여낸 부분이 나름 재밌다. 익숙해질만하면 유치해지긴 하지만 어떻게 일주일만에 오만 극장에서 내려갈줄은…"
블랙 위도우,a1bc****,10,처음엔 재미없을 거 같았는데 막상 보고나니 너무 좋았어요. 아직까지도 여운이 남아있고 한 번 더 보고 싶은 영화입니다. 스칼렛 요한슨이 연기를 잘해줘서 더 몰입이 잘 됐습니다
은혼 더 파이널,han0****,10,5기로 다시 돌아오는거지...?믿고 있을게요...
서울역,gjwn****,4,"피 흘리고 돌아다니는데 사람들 별관심 안 갖는거부터 요새가 어느 때인데 지하철에서 전화가 안터짐니까 ㅡ,.ㅡ 보는 내내 암걸리는 줄 알았습니다"
보스 베이비 2,wse0****,6,지나간 어린 시절을 떠올리게 하는 영화
이케아 옷장에서 시작된 특별난 여행,ksy3****,9,내일은 옷장에서 희망의 색을 꺼내보자.
발신제한,abra****,2,그냥 폰부스 한번 더 봐라
프록시마 프로젝트,boyd****,1,
은혼 더 파이널,xodz****,10,재밋었습니다ㅎㅎ 은혼 영원하라!!
미져리,dlgy****,10,와.... 진짜 쫄려 ㅋㅋㅋㅋ ㅜ 상처 개아파보임
콰이어트 플레이스 2,meta****,8,뻔하지만 역시 영화가 끝날때까지 이어지는 긴장감은 최고.
랑종,anam****,10,평이 너무 안좋아서 기대 안했는데 이정도로 평이 안좋을정도로 재미없지 않은데?? 적어도 콰이어트 플레이스 이런거보다 더 재밌음. 초반에 다큐형식이라 사람들이 낯설고 지루해서 그렇지 스토리 다 기승전결있고 후반에 공포감도 생생함. 곡성이 너무 레전드라 그렇지 이정도면 잘 만든거지
그것만이 내 세상,rose****,10,꼭 봐야할 코믹과 감동의 영화.오랜만에 클래식 감동을 코믹함과 잘 버무려 감동을 몰고온 이병헌의 영화.서번트증후군을 알게하며 장애로 얻은 단점을 장점으로 살아갈수있게 우리삶이 어우러져 따뜻해지는 감동의 스토리
이프 온리,ghgh****,10,제일 좋아하는 인생영화에여 세번 보는데 볼때마다 눈물 나오네요 안본 사람 꼭보세요 꼭꼭
블랙 위도우,kwon****,10,오프닝 만으로도 보러갈 가치가 있음...
미드나이트,ahnd****,8,킬링타임용으로 좋았다스토리는 별론데 배우들 연기력에 놀람특히 진기주 배우님 짱
블랙 위도우,cibb****,10,이건 뭐...최고자나
보스 베이비 2,yeri****,10,존잼이다 미쳤다...
피닉스,gold****,6,크게 와닿지 않는 이야기. 질러갈 수 있는 길을 일부로 돌아가며 그 고단함에 대해 불평하는 바를 듣고 있는 듯 하다
미드소마,chor****,10,아름다운 색채의 향연속에 피어나는 집단광기
블랙 위도우,kars****,4,이건머지 실망이다 명절특집할때나 볼걸 ㅠ
블랙 위도우,solr****,10,언니 사랑해요
헌터 킬러,jeon****,10,마지막에 함장끼리 악수할 때 가슴이 뜨거워졌습니다. 분노의 질주 이후로 처음이네요.
헌터 킬러,jeon****,10,마지막에 함장끼리 악수할 때 가슴이 뜨거워졌습니다. 분노의 질주 이후로 처음이네요.
블랙 위도우,red3****,9,스토리는 조금 뻔하고 지루한 감이 있었지만 액션씬과 요한슨의 연기가 최고였습니당
랑종,wjet****,10,중후반부까지 재밌긴했는데 결말이 싱거워서 아쉽다
블랙 위도우,rick****,10,요한슨 언니 멋져요? 또 다시 봐야지
블랙 위도우,seed****,10,"주변에서 재밌다고했지만 이렇게 재밌을지는 몰랐다. 솔직히 다른 어벤저들은 초인적인 힘이 있다보니 액션 화려해도 CG영화를 보는 기분이 컸는데 나타샤와 옐레나의 액션을 볼 때는 사람의 액션에 감탄하면서 봤던 듯. 스토리, 액션, 영상미 진짜 좋고.. 타임라인상 앞뒤 영화들과도 이어져서 반가웠음."
크루엘라,deer****,10,
새콤달콤,baby****,10,결국 피해자도 없고 가해자도 없었다 다 현실적으로슈뤠귀여~~ 와중에 뚱장혁이만 순수ㅠ 욕해서 미안했다
아이스 로드,qumi****,7,차 추격신이 스릴 있었고 따로 지루한 부분이 없이 재밌네요
미드나이트,cslo****,2,감독씨 니가 니영화 함보셈 이게 말이되는영화인지ㅋㅋ 이영화는 하는일이 너무 잘풀려 답답함좀 느끼고싶다 이런사람들이나 보기 딱 좋네 ㅋㅋㅋㅋ내가 만들어도 이거보다 잘만듬
악질경찰,vleh****,10,아~ㅜㅜ 마지막 너무 감동적입니다 ㅜㅜ~^^세월호 유가족에게 다시 한번 삼가 고인의 명복을 빕니다
파이트 클럽,acpz****,2,걍 중2병 걸린영화 재미도 ㅈㄴ없음
나비 효과,ipoo****,10,너무 재밌다 .. 과거로 돌아가는 게 짧디막한 하이라잍이라 너무 재밌고무엇보다도 해피엔딩이라 좋다
금지옥엽,knno****,10,
크루엘라,kjms****,10,지루할 틈이 없다빠른 흐름 속에서도 뚜렷하게 알 수 있는 내용연출과 연기가 모두 좋음
모범시민,eomd****,8,어느 한쪽도 정의와는 거리가 멀었지만 적어도 납득이 될만한건 클라이드 쪽이었던거 같음.. 닉도 분명 비리검사에 가까운데 자꾸 악에 맞서는 사람처럼 표현해서 맘에 안들었다
블랙 위도우,wjsq****,10,기대없이 보았지만 재미있고 나름의 스토리도 있는 액션물
아이스 로드,sool****,10,솔직히 평점 왜이러지? 스릴감두 있구 리암니슨 영화는 믿고 보는 부분인데.. 무더운 여름 시원한 영상미..! 너무 재밌게 봤습니다!! :)
사이다처럼 말이 톡톡 솟아올라,lees****,10,소년과 소녀의 풋풋한 사랑을 그린 것 같아서 너무 좋아요! 소년의 행동에 매우 감명깊게 보았습니다:)
릴리 슈슈의 모든 것,pon0****,8,사춘기가 감당하기엔 너무 역겨운 이지메
보스 베이비 2,jeni****,2,지나치게 산만함 애들은 좋아할듯
오늘부터 히어로,seoh****,10,
발신제한,jsm1****,1,내수용 한국영화....
마틸다,cook****,10,스토리도 탄탄하고 배우들의 연기도 좋았습니다.아주 통쾌한 영화였어요.
쇼크 웨이브 2,silv****,10,"여전히 건재한 유덕화 따거 정말 멋지시고,연기도 좋고 사랑스럽기 짝이 없는 니니,앞으로 더 많은 활동으로 자주 볼수 있음 좋겠네요~참,한동안 수준 미달인 홍콩영화만 보다가,간만에 헐리우드급 스케일 참 좋았습니다~"
18 : 우리들의 성장 느와르,shae****,6,정신차리면 좋겠다 일진들
시,grow****,9,"인생 자체가 시이거늘, 아이러니라는 이창동의 방점이 제목에 박힌다."
랑종,wsol****,10,"오..다들 혹평이 많아서 별로인줄알고 봤는데뭔가 해석을 찾으몀 찾을수록 계속 기억나는 영화였어요..!! 제가 무당이나 샤머니즘에 관심이 많았는데 영화에서 신내림이나 빙의, 조상신 등의 정보를 많이 조사하고 그것들을 적절히 영화에 사용했다고 생각했어요. 다른 공포영와처럼 새로운 반전이 있거나 귀신이 엄청 무서운건 몰라도 샤머니즘이라는 인간이 알 수 없는 초현실적인 현상에 대한 공포감은 잘 담아냈다고 생각합니다. 나중에 영화본 후에 여러 해석글을 읽었을때도 몇몇 퍼즐이 맞춰지는 부분이 있어서 더더욱 생각나는 영화였습니다. 깜짝놀랄만큼 무섭고 자극적인 영화를 원하신다면 맞지 않겠지만 저처럼 샤머니즘, 신내림, 엑소시스트등에 관심있는 사람이라면(그렇지 않더라도) 한번쯤 볼만한 영화같습니다."
디 아더스,nine****,10,"지렸다 이 영화가 벌써 20년 되었다니,. 오랜만에 다시 보려다가 제작년도에 소름 돋았네요ㅋㅋㅋ"
발신제한,zsxd****,10,조우진님 연기가 다하는 영화에요
차인표,psyp****,10,생가보다 웃겨서 재미있게봤음ㅋㅋ
내 연애의 기억,psp2****,7,"장르에는 멜로/로맨스, 코미디에만 있던데"
헝거게임 : 더 파이널,dbwl****,8,결국은 이 영화도 똑같다독재를 막으려 스노우를 잡았으나세상을 구할것 같이 행동하던 코인도결국은 자기가 다시 세상을 독재하려고준비중이였던것.똑같이 고대로 갚아주는게 아니고 제 2의 독재를 하려했던것 ..주인공의 선택의 옳았다.괜찮은 영화지만 판엠의 불꽃 이후 세편은 먼가 모르게 부족하다...나만 그런가?흠
더 플랫폼,webb****,7,인간의 본성에 관한 적나라한 성찰.
랑종,namt****,1,일반 공포영화 생각하고 보면 안되요다큐멘터리 공포영화 입니다겁나 재미 없네요밍 밍 밍 뿐이 기억이 안나네요곡성 기대하고 봤는데...
나의 특별한 형제,mira****,10,이광수 연기 너무 잘한다...
크루엘라,webb****,9,"와, 이토록 매력적인 여주인공이라니!!!"
다크 시티,webb****,8,따스한 햇살이 그리워지는 영화.
랑종,hee1****,10,스토리가 탄탄해요... 평 보고 기대 안했는데 기대이상임. 끝나고도 여운이 남음. 연기 너무 잘하고요... 처음부터 끝까지 집중하게 만듦.
너의 췌장을 먹고 싶어,mero****,10,재밌어요 흔해 빠진 갑자기 서로 소중하고 억지감동 주는 어떤 영화들과는 다르네요
뮤직 박스,poo8****,10,정의와 진실은 지켜져야 한다. 그래야 세상이 옳은 방향으로 나아간다.
랑종,yuna****,8,무섭진 않은데 어떤 의도로 구성해낸건지 찾아보게됨. 명확한 해석이 불가능해서 그게 좀 찝찝함. 쿠키영상도 없어서 더욱.
히든 피겨스,cell****,10,
보스 베이비 2,hdvq****,10,재미있게 잘봤습니다 좋은 영화 감사합니다
랑종,inhu****,5,아…. 쓸때없이 자극적이나 지루해요 배우들의 열연이 아까웠던
발신제한,ange****,10,너무 재밌게 잘봤습니다.스토리 3분의2쯤에 지창욱이 피해자에게 접근했을때는굳이 그렇게 가는 이유를 몰라서 이건 좀 아닌것같은데라고생각했었지만 10분정도 더 보고나니 충분히 이해가는 장면이었습니다.저는 예전에 어떠한 영화 또는 드라마를 보고 이러한 생각을한적이 있습니다.지금의 영화에서 지창욱이 한 모습들은 어떠한 이유에서도 하면 안되고 쓰레기라고 비난 받을 만한 일입니다.하지만 내가 너무 억울하고 내가 너무 힘이 없어 상대에게 어떠한 죄값을 치르거나 조그마한 복수조차할 수 없다면...나라면 어떨까... 절대 하면 안되는 짓이지만... 나도 생각정도는해볼법한 일이라고 생각듭니다.물론 초반에 나온 죄없이 폭파된 와이프라던지아무 잘못없는 피해자가 죽은건 안타깝습니다.어쨌든 전 개인적으로 초반부부터 끝까지 몰입감이 높고스토리도 좋고 아주 재밌게 잘봤습니다.제 개인적인 평점은 8.5점 정도인데...현재 평점 7.9점은 너무 낮은것 같아서 10점 드립니다.그리고 기자 평론가 평점 이런거 좀 없앱시다...말같지도 않는 소리를 너무 써놨네...씨네21| 이용철 이사람은빤히 예측되는 걸 100분 동안 바라보는 괴로움이라고 적어놨는데 그럼 지가 영화 만들어 보던가이런 사람은 그냥 영화보면 안된다고 생각듭니다.평론가가 제대로된 느낀점을 적어야지에효 저런걸 평론가라고 ㅉㅉ
보스 베이비 2,baki****,10,재밌고 귀여워 보스+_+
랑종,tft9****,10,평가가 다들 왜이렇게 안좋은건지 ㅠㅠ 저는 진짜 재밌게 봤어요 대박나세요!!
얼라이드,rna3****,10,너무좋다연기 스토리 모두 탄탄
보스 베이비 2,zawr****,10,또 보러간건데 재미있어용 두번봐도 존잼!
발신제한,mela****,7,그럭저럭 볼만하다. 시간은 잘 가네.
보스 베이비 2,vhif****,10,시즌1보다는더화려해진거같음
성실한 나라의 앨리스,ljb0****,8,가난스릴러색다른 전개노골적인 잔인함
보스 베이비 2,naga****,10,1편 보다 뮤지컬 적인 요소가 많아져서 그런가 넘 재밌게 봤어여ㅋㅋㅋ
블랙 위도우,0906****,10,마블 역대 최고의 오프닝
랑종,jung****,2,이런 영화를 왜 만드나. 보고나면 찝찝하기만 하고. 즐겁게 삽시다.
프리즌 이스케이프,yser****,8,처음부터 끝까지 긴장감이 넘친다
헌트,jjon****,7,여주 매력 쩔어속시원하다
트랜스포머,rlgk****,10,이게 어떻게 2007년에 나온거야..진짜 다시 봐도 소름돋는 영화다
보스 베이비 2,m2a3****,10,아이도 어른도 재밌게 잘 봤습니다 가족의 소중함을 느끼게 해주네요
23 아이덴티티,yser****,7,놀랄만한 연기력을 보여준다
발신제한,jwyu****,2,"이건 각본, 각색한 사람 혼나야됨... 무슨일이야 ..."
디태치먼트,atre****,10,삶에 대해서 생각해볼수 있는 영화인거 같음
블랙 위도우,lch4****,8,너무 많은 기대가 지금 이런 마음을 만든게 아닌지..그것만 아니라면 나름 시간때우기 용으로 괜찮음
"광해, 왕이 된 남자",swy4****,8,
드림빌더,psp2****,2,어린 자매들이 보면 될거같은 영화
블랙 위도우,jkvi****,10,영화관에 가서 봐야되는 영화
랑종,kjg5****,2,겁나 무서움 이라고 할뻔
발신제한,tkfk****,8,조우진 연기가 하드캐리 그거 말곤 없다
보스 베이비 2,park****,10,아직까지 보스베이비2 안 본 사람이랑 겸상안함
발신제한,minm****,2,요새 더워서못자시는분들이거보면잘수있어요
보스 베이비 2,ornl****,10,치명적 매력을 가진 아가들이 나옵니닼ㅋㅋㅋ아기 좋아하시면 꼭 보세요 심쿵....
로그,hara****,2,ㅋㅋㅋㅋ시작부터 중간중간 인질들 줘패고 싶은건 나뿐인가? 그리고 일반병사출신 용병인가ㅋ엄폐상태에서 비엄폐 인간을 못죽이고ㅋㅋ미드씰팀 5번째 볼때보다 긴장감없고 후지네
우리는 매일매일,true****,10,"우리에게도 계보가 있다는 말이 너무 위안이 되는 말이고 또 20대를 거쳐 40대가 된 전, 현직 활동가들의 삶을 볼 수 있어서 너무 기뻤어요!"
보스 베이비 2,k1on****,10,캐릭터들 귀엽고 영상미가 넘 좋아ㅎㅎㅎ
킬러의 보디가드 2,sayv****,1,싸구려 C급 양산형 영상. 게리와 요한을 위해 주는 1점
보스 베이비 2,klet****,10,성인이 봐도 재밌다 영상미랑 노래까지 굿
목격자,sy63****,1,보다보면서 너무 답답해서 평점남깁니다.
보스 베이비 2,pgkq****,10,유쾌해요 즐거워요 베이비들 맨날 보고싶어요
블랙 위도우,stra****,10,마블과 아름다운 이별을 한 나타샤
괴기맨숀,savi****,1,개연성이 일도 없고 좀 난해합니다.결론은 별로..
캡틴 아메리카: 시빌 워,youn****,9,개 이기적인 캡틴 거기다 이모와 조카를 아우르는 난봉꾼 수준이구만 더러운 자식
블랙 위도우,whfj****,5,"음..,마블영환데...초반에 잔건처음이네...의리로봤음..."
발신제한,suck****,8,재미있게 잘봤습니다. 우리나라 은행놈들이 얼마나 나쁜놈이라는것에 대한 적나라한 표현이 제일 마음에 드네요. 두얼굴의 은행놈들이 조금이라도 고쳐졌으면 하네요. 다시한번 잼나게봤어요
블랙 위도우,clal****,10,
보스 베이비 2,79wj****,10,귀여움과 영상미 만큼은 최고다
아이스 로드,7lea****,8,"스토리는 예상되는부분도 많고, 개연성은 그렇지만 가볍게 보기 좋다. 끈끈한 형제애를 볼수있어 좋다."
괴기맨숀,sund****,2,있어보이는 척만하지 실질적으론 아무것도 없고 아무의미도 없는것들
파이프라인,savo****,10,
보스 베이비 2,egcy****,10,귀여움은 여전히 최고
도라에몽:스탠바이미,jym1****,10,풍경이나 하늘등  소품의 디테일이 너무 사실적이라 감탄했습니다.
이스케이프 룸 2: 노 웨이 아웃,pgh6****,8,3에서 지금까지 애들 다 살아돌아올듯 사실 정확히 죽은거 1-2편에서 다 안보여줌
보스 베이비 2,gsiq****,10,속편이지만 재미있네요ㅋㅋ
랑종,ahtj****,8,엄청난 공포영화는 아니였지만 이정도면 재밌는데 평점이 너무 낮네요. 여주 연기 한번 더 보고싶고 볼생각입니다.돈 아깝지 않고 재밌게 봤습니다.
보스 베이비 2,vxl4****,10,1편도 2편도 상상력이 대단한 것 같아요!!
"색, 계",hila****,10,
보스 베이비 2,hwaw****,7,정신없다..감동이 부족하다
랑종,oran****,6,앞부분은 검은사제들의 소담이  뒷부분은 부산행의 좀비. 실망스럼...
블랙 위도우,sola****,9,이정도는 되어야 볼만 함
랑종,youn****,7,"태국 외곽의 작은 지역을 배경으로한 특유의 이국적인 분위기와 샤머니즘이라는 흥미로운 소재그리고 국내에서는 더욱 더 찾기 힘든 오컬트 영화라는 점으로 기대를 높이는데 충분한 요소들그렇기에 앞서 검은사제들, 사바하 등 주옥같은 오컬트 국내 선배 작품들이 길을 닦아놓았으나영화 사자 에서보여주는 철권신을통해 국내 오컬트가 잠시 주춤하였기에 더욱더 기대가 되었다.하지만 초중반까지의 루즈함 그리고 후반부에 방에 부적을 붙이고 그 자리를 지키는 한명의 제자..보자마자 짜증이나는 진부한 연출 그리고 뜬금없는 좀비물은 실망을 하지않을 수 없었다.그럼에도 국내에서 시도하기힘든 오컬트 영화라는점 그리고 이국적인 분위기와 샤머니즘에대해영상으로 잘 표현한 영상미등. 많은이들이 관음과 필요성에 의문을 두는 자극적인 장면들을 이유로 졸작까지의 지탄을 받기에는 너무 가혹하다고 생각된다. 그저 나홍진이라는 감독의 네임벨류로 인해 많은분들이 가졋던 높은 기대감이 되려 독이 된 작품오컬트라는 카테고리 영화를 좋아하는 사람에게는 흥미롭게 볼수있는 영화정도라고 볼수있겠다."
블랙 위도우,ehdq****,10,한순이 언니표 액션신의 마무리
랑종,cart****,8,평가가 너무 박한듯 태국의 샤머니즘에 중점이 맞춰져 있으니까 국가별로 무서운게 좀 차이날 순 있어도 단순 스너프 필름처럼 아무런 의미없이 자극적인 장면을 넣은게 아님
2012,sept****,10,인간은 우주의 티끌보다 작은 존재이지만 하나 하나의 우주이기도 하다 그리고...  2012년엔 별 일 없었다
크루엘라,tlsd****,9,아참 이런게 영화지
앤트맨과 와스프,swy4****,6,
블러드샷,minj****,3,영상미 빼고 볼 것이 없었다. 동양인 공학자들은 악의 편에 서서 돈이면 양심 내놓고 다하는 인간으로 묘사되고 흑인 공학자는 레전드 천재로 등장하며 선에 서서 열심히 주인공을 구함. 과학의 기초를 무시하며 스킵한 상황들도 여전히 의문이다;; 설명이 매우 불친절한 영화;; c급.
기방도령,kmin****,10,준호 연기에 완전 몰입ㅠㅠㅠ기대안했는데 재밌었당!
글루미 선데이,alpa****,10,명작이다 근데 몇번보다보니깐 진주목걸이 뜯겨질때 부인이 남편보다 진주알먼저챙김 ㅋㅋㅋ
액션히어로,laye****,1,오늘도 평화로운같은 영화라도  보고 C급잘만드는 법이라도 좀 공부하고 만들지...
이스케이프 룸 2: 노 웨이 아웃,seri****,10,존잼! 1편을 보지 않아서 이해가 안가묜 어쩌나 했는데.. 그냥 2편 자체만으로도 스릴 넘침~
이스케이프 룸 2: 노 웨이 아웃,nome****,9,재미있는데 온몸이 아픈영화
보스 베이비 2,fx3p****,10,존잼이다ㅠ 또 볼거야!!!
보스 베이비 2,t3ly****,10,스토리도 짜임새있고 좋네유! 주말에 가족들이랑 간만에 좋은 시간 보내고 왔어요ㅎㅎㅎ
유령선,kthb****,1,평점봐라 대깨새기들 ㅋ지들끼리 자화자찬오지네 대깨소대가리들
랑종,gktk****,3,"태국의 무당에 관한 다큐멘터리로 시작해 초반부는 이국적이며 흥미로운 포인트들이 많으나, 중반 이후부터 원래 주인공의 비중이 줄어들고 삼류 공포영화로 변질됨. 모큐멘터리에서 파운드푸티지로 영화 연출법 자체에 변화가 다른 무엇보다 가장 큰 문제"
랑종,play****,4,너무 그냥 뻔해요 ;;; 많이 아쉽내용
랑종,rowo****,10,나만 당할수없다 꼭봐~ㅋㅋㅋ핑밍 핑밍 핑밍업!
이스케이프 룸 2: 노 웨이 아웃,gntj****,10,충격의아만다생각도못했다ㅋㅋㅋ개꿀잼
꽃다발 같은 사랑을 했다,laye****,1,고레에다 히로카즈가 왜 자국에서 영화 안찍겠다고 했는지 알것 같다
보스 베이비 2,lhfj****,10,가족들과 함께라면 행복하지요ㅎ
날씨의 아이,heky****,9,이해하기 어렵지만 신선한 영화
보스 베이비 2,jbwt****,10,유쾌해서 기분 좋은 ><
랑종,laye****,2,포킵시테이프나 블레어 위치를 보고 공부라도 좀 하지...
랑종,youm****,1,보고왔는데 한숨만 나와요 너무 답답하고 결말이 짜증이 납니다 보지말걸 후회하고있어요..
천공의 성 라퓨타,a070****,10,오랫만에 느끼는 벅차오름이었다.
랑종,aa75****,2,2시간 20분동안 토 나옴을 경험하고 싶은자만 봐라~! 남친이랑 갔다가 중간에 나온 영화는 인생 최대에서 처음~!!!
보이저스,ures****,2,발암 영화 좋아하시면 강추.시간이 남아도시는 분도 강추.
보스 베이비 2,7dje****,10,베이비주식회사 면접 보고싶습니다ㅋㅋㅋㅋ
꽃다발 같은 사랑을 했다,okjj****,8,"일본 영화 특유의 감성은 그대로 들어있으면서도, 결말이 현실적이라서 좋았어요. 만약 20대에 이 영화를 봤다면 아쉽고 안타까운 마음만 남았을텐데 30대인 시점으로 보니, 덤덤한 현실이 그대로 인정되고 와닿아서 아쉽지만은 않더라구요."
랑종,didt****,1,최악최악최악불쌍한건 무당들과 아기 그리고 애기엄마.영화 90% 이상이 화면 흔들림.현실감 느끼도록 하는것도 정도껏이지.산악 트래킹 차 타면서 영화보는줄.롤러코스터 타는것도 아니고.토할거같음.배타고 멀미하는줄. 무서운거 보고싶어서 랑종을 꼭 보고싶다하면이 글 읽고 다시 생각해보세요.
보스 베이비 2,zazi****,10,보스 베이비 캐릭터들은 달라.. 남달라.. 애기 주제에 내 맘을 들었다 놨다해
더 퍼지,ravi****,2,가까운 이웃이더 무서운 건가. .ㅡ내용도  참...
내일의 기억,4kiz****,9,
보스 베이비 2,vs1p****,10,시간 가는 줄 몰랏네요 ㅎㅎ1편도 찾아 봐야겠습니다
살인의 늪,jc95****,10,변하는 것은 사람인가? 시대인가?
보스 베이비 2,inso****,2,내가 보스베이비 1편은 재밌게 봤던 사람인데왜 이딴 어거지를 만들어서 내놓는지는..개인적으로 이걸 보느니 다른 효율적인 일을 하시는게 좋을 듯 합니다 아동이 봐도 유치할것 같은 영화정신 산만하고 스토리 급조한 게 티가 납니다
바람의 검심 : 전설의 최후편,ahy1****,9,마지막 1대4는 진짜 레전드네 시시오 이전까지는 크게  빌런으로서의 매력을 못느꼈는데 인기많은 캐릭터인 이유가 있었네
큰엄마의 미친봉고,ksc3****,10,정말 최고의 감동에 여운이 남는 영화입니다...
클로버필드 10번지,momo****,8,"끝나기 십분 전까진 스릴러 영화의 피해자 여주더니, 마지막 십분은 히어로 영화인 원더우먼?"
제8일의 밤,dlgk****,10,나만 재밌게 봤나보다 흐흐
발신제한,kjl1****,6,왜 그때 그랬을까? 왜  그때 안그랬을까... 이런 의문을 풀수 없는 연출.
바람의 검심 : 교토 대화재편,ahy1****,9,초중반까지 살짝 루즈한감이 적지않게 있었지만 후반부 전투가다 만회함 진짜 ㅈㄴ 멋있다
은혼 더 파이널,tlfq****,8,작붕이 꽤나 있는데 마지막이니까 넘어간다.
시카고,with****,10,원작을 이긴 영화입니다
