영화제목,아이디,평점,댓글
모가디슈,edur****,10,오랜만에 영화관에서 영화다운 영화였고 정말 감동적임
낙원의 밤,sung****,7,뻔한스토리입니다ㅋㅋ
랑종,huru****,10,개무서워 존나 재밌어 .. 한번 더 보고싶은 영화
모가디슈,ando****,10,국뽕 1도 없이 진짜 잘만든 한국영화!
CCTV,sks9****,10,제목부터 무서운 cctv무더운 여름밤에 숨죽여 봤네요~~꼭 보세요~
정글 크루즈,mild****,10,뭔가 시원한 느낌?? ㅋㅋㅋ 재밋엇음 오랜만에 재밌는 거 봐서 기분 좋음 에밀리 개예쁘고 ㅠㅠ 드웨인 존슨 액션 믿고 본다
트랜스포터,labe****,4,"액션에만 급급한 나머지, 정작 중요한 스토리의 개연성과 완성도를 살리지 못한 영화."
열다섯의 순수,ohju****,3,아버지 지인에게는 방망이 잘도 휘두르면서방망이 들고가서 쳐맞기만 하는 것이 납득 불가...
분노의 질주: 더 얼티메이트,1111****,4,볼거리는 좀 있는데 스토리가 너무 빈약하다
쿵푸 팬더,a295****,10,정말 재미있었고 쿵푸팬더 포가 진짜 쿵푸를 잘한다 그리고 감동 지수는 없었던 것 같은데 있다. 또 포가 어떻게 싸부님 보다 쿵푸를  잘하는 것 같다.
모가디슈,flwj****,10,배우들의 빈틈없는 연기가 돋보이는 영화!
호빗 : 뜻밖의 여정,thes****,10,영화 스케일이 최고! 상상 그 이상!
모가디슈,mari****,8,물량은 헐리우드 급이고 스토리는 기존 남북 화해영화  수준이다.
블러드 레드 스카이,zucu****,1,"연출력만 좋았어도... 평점 5점은 받았을 영화... 촬영 기법도 문제, 화면 전환도 문제... 보다 맥이 끊기는 느낌이 심하다. 디테일이 부족한 뭐랄까... 학예회 작품같은 느낌"
CCTV,sudd****,10,곽도원이 안됏!!!만 기억난다..ㅋㅋㅋ7년전영화여서 옛날느낌이 잘 살아있어서 독특했다. 슬라이딩타고 지나가는 귀신은...뭐랄까 쿵쿵따 공포특집에나올법한 ...ㅋㅋㅋ비주얼이었당 재미는없지만 그런점에서 별5개 ㅋ
황후화,ccja****,10,
감기,ye61****,1,2시간 내내 발암이었음
글래스,mast****,9,
지오스톰,rjw7****,10,ㅈㄴ 재밌는데 다들 왜 OO임 ㄹㅇ
블랙 위도우,smin****,1,8점 이상 못주겠음..평점이 너무 높아서 낮춤
불량 공주 모모코,zksy****,3,내 감성엔 맞지 않다.
모가디슈,octa****,10,코로나 아니면 천만은 충분히... 강추요!
더 테이블,pont****,8,정유미는 나온 이유를 모르겠고 정은채는 내숭쟁이.한예리는 범죄인..임수정은.. 따라가고 싶다!
뷰티 인사이드,jc89****,8,외면이 아닌 내면을 사랑하게 되는 이수
방법: 재차의,brav****,2,ㅎ 기대를 안하고 봤는데도 만화 영화같은 유치한 스토리.. 배우들 연기 보는 맛에 끝까지 보긴 했는데 배우가 아까웠어요
모가디슈,bmjv****,1,이거볼시간에 잠이나 자는게 나아요
크루엘라,sang****,10,엠마 스톤 나오는 영화는 라라랜드만 봤는데...크루엘라 연기 소름....ㄷㄷ
무간도,rudt****,10,"디파티드, 신세계 등등 수많은 경찰-조폭 영화의 교과서가 된 영화"
부당거래,uppl****,10,류승완 최고 작품! 다시봐도 재밌다
모가디슈,eunf****,10,오늘 아침에 조조로 봣습니다. 재밌게 봤네요~~
보스 베이비 2,pico****,10,보스베이비를 전에 엄청 재밌게 보고 1편에도 감동과 여운이 있어 2를 보게됐는데 처음에는 막연하게 2가 1보다 재미있을 순 없겠지 하고 기대를 하지않고 2가 나왔다는 사실만으로도 기쁜 마음으로 보았는데 정말 2까지 이렇게 감동과 여운이 깊을 줄 몰랐어요 팀과 테드 형제의 우애가 저에게 정말 감동받았습니다
포이즌 로즈,mecs****,1,
모가디슈,runa****,10,와 몰입감이 아주 류승완이 류승완 했네요 코로나만 아니면 천만쉽게 넘었겠네요 요즘 분한분하고 함께 알하고 있눈데 많이 생각이 나네요 정말 뗄레야 뗄 수 없는 민족이지요
무간도,eogu****,10,이랬던 홍콩영화가 지금은…
무간도,atta****,10,말이필요없는명작 강추합니다
범털,tory****,10,재밌다. 그럼 된거야.
향수 - 어느 살인자의 이야기,fun5****,10,지금 봐도 대단한  영화...
분노의 질주: 더 얼티메이트,amor****,8,시리즈가 길어지면 원래 계속 오버할수 밖에 없음. 재미만 놓고 즐기면 그걸로 만족함. 다음은 월면 주행이다!
사요나라 이츠카,wjst****,4,불륜을너무미화.아내도이해안가고.일본여인들은다저런가?불륜녀민혜경같아서집중안됨.연출력은좋음
마녀,hong****,8,김다미연기짱 이었습니다
방법: 재차의,tngh****,1,"ㅈㄴ 재미없다 방금 조조로 보고나왓는데 돈,내다버혓네ㄹㅇ ㅋㅋㅋ"
모가디슈,hanc****,8,류승완 이대로만 올라가자. 영화 수준에 뿌듯하고 분단국 수준에 울컥하고.
분노의 질주: 더 얼티메이트,v100****,1,"분노의질주1 : 시빅3대분노의질주2 : R34,수프라,S2000,S14분노의질주3 : RX7,란에보,350Z   그립군...이번 편 진짜 재미없음..."
베테랑,hong****,10,너무시원한영화 였습니다
랑종,gilf****,1,"영화를 보러간건지 정화조 똥내 맡으러 간건지 모르겠음, 그리고 밍님똥꿍끵 거리는데 귀도 존나 아픔"
모가디슈,yooj****,10,스토리 탄탄하고 연출 미쳤다  이런 실화를 영화로 제작해줘서 너무 감사할뿐
이장,tomb****,1,"케이블에 나오고 있어서 뭔가하고 보는중인데,  세상에서 여자들만 제일 불쌍하고 세상 남자들은 전부 우습고 지들 눈 아래고  전부 지들 괴롭히는 악마로 묘사하는ㅈ같은 개똘패미 스토리.0점이 없어서 1점 준다."
미나리,hip1****,6,너무 사실적이라 재미는 없어요
모가디슈,insu****,1,"북한과 첨에는 티격태격, 그러다 위기상황이 오고 싫지만 힘을합치고 서로 도움, 마무리는 북한남한 같이 만쉐이~왠지 플로우가 베를린하고 비슷하네, 왤케 영화판놈들은 북한을 미화하지?? 뭐가나오나??"
모가디슈,wode****,10,믿고보는 명품 배우들!! 스토리 감동 재미 시대풍미 모두 완벽했다 무조건 추천
극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,dldb****,8,재미는 있어요 근데 1기부터 짱구를 쭉 봤는데 그림퀄리티는 좋아지는데 점점 의미는 비슷하고 스토리가 떨어지는거같아요ㅠㅠ옛날짱구감성이 사라진느낌…ㅠㅠ
블랙 위도우,ohho****,9,"블랙 위도우는 꼭 영화관에서 봐야된다고 생각해서 코로나임에도 극장에서 봤어여! (양심찔림 , 2년을 참았눈뎅...ㅎㅎ)블랙위도우 소개 영화로 정말 잘 만든 것 같아요. 전 눈물도 찔금 했습니다. 갠적으론 넘 좋았어유!"
화양연화,dpwl****,10,난 뭐니뭐니해도 이별 연습 하는 장면에서의 장만옥 모습이 잊혀지지가 않는다. 안타깝게 떨어져나가는 손과 그 손을 어찌하지못해 자신의 팔을 쥐어뜯듯 괴로움을 못 이겨내던 그 감정이 너무 생생하게 와닿아서.... 이런게 명연기구나 싶었던.
발신제한,dnwh****,5,조우진 배우님의 연기력은 좋으나 특별한 내용이 없음
모가디슈,qwe2****,10,김윤석의 작품 간택력은 알아줘야한다.
CCTV,grea****,9,무서운 거 잘 못 보는데 추천받아서 봤어요. 무서웠지만 감동 :)
랑종,anje****,8,"그냥 동물학대. 아동살인. 성ㄱㄱ, 좀비 짬뽕 영화지만 배우들 연기에 높은점수줌! 게다가 신은 있는가에 대한 심오한 질문까지 던지는 영화라 충분히 생각해볼 가치가 있다고 생각. 그래서 신은 있는가?"
랑종,anje****,8,"그냥 동물학대. 아동살인. 성ㄱㄱ, 좀비 짬뽕 영화지만 배우들 연기에 높은점수줌! 게다가 신은 있는가에 대한 심오한 질문까지 던지는 영화라 충분히 생각해볼 가치가 있다고 생각. 그래서 신은 있는가?"
분노의 질주: 더 얼티메이트,kyj9****,1,ㄹㅇ  씹노잼인데;;;
모가디슈,pont****,5,생각보다 액션 파워가 약해.<군함도>에서 지 능력밖의 욕심 부리다 말아먹은 류승완이 액션에 집중할거 같았는데..<블랙호크다운>보다는 연상호의 <반도>생각이 나. 소말리아 흑형들은 좀비와 별로 다를게 없이 비춰지고.. 남북신파는 심하지 않아.이용철이는 또 오버한다!
모가디슈,fann****,10,억지스럽지 않은 국뽕!!! 배려가 무엇인지 진정 알려주는 영화! 여운이 길게 남는 뭉클함.. 꼭들 보세요
랑종,wepo****,4,"초중반까진 흥미롭게 풀어가다가 중후반에 난잡해진느낌기분나쁘게,혐오감을 불러일으키는게 목적이라면 성공적인 영화연기는 매우 훌륭하다"
발신제한,zzag****,6,연기가 아까웠던 영화 스토리 부실
아수라,joue****,10,잼있는데 왜 이렇게 평점이 낮지??
인터스텔라,1118****,10,일년에 한번씩 챙겨보는 영화
방법: 재차의,jiwo****,10,간만에 재밌는 영화꿀잼꿀잼
모가디슈,hyj8****,10,지루하지않고 재밌어요!
블랙 위도우,kdhc****,1,차라리 후레쉬맨을 봐라
분노의 질주: 더 얼티메이트,debe****,10,블럭버스터는 이거지  극장에서 보고 ip티비로 또봐도 재밌네
모가디슈,hr20****,10,허준호아저씨가 최고인데..
호박과 마요네즈,cute****,8,
모가디슈,ledh****,10,"기존 소말리아 내전 관련 영화는 많았지만, 국산영화는 처음이라 기대와 우려로 반신반의 했다.남북관계의 내용과 같이 아쉬운점도 분명 있었지만, 이정도로 뽑아준데에 대체적으로 만족하며 이러한 류의 영화들이 더 발전할 수 있는 좋은 선례가 되었으면 하는 바람이다.재밌게 잘 관람했다."
버드 박스,1532****,10,"보이와 걸의 이름을 자신에게 정말 소중하고 중요했던 사람들의 이름을 딴 올림피아, 톰으로 지은게 진짜 울컥포인트였다"
분노의 질주: 더 얼티메이트,comp****,7,하다하다 자동차 타고 우주로 가냐? 이제 그만 만들자.
줄리아의 눈,jasm****,10,"눈이라는 독특한소재,  스토리 좋고..스릴만점입니다!"
벤자민 버튼의 시간은 거꾸로 간다,twin****,10,10년만에 소리내서 엉엉 펑펑운 영화여기가 원룸이아니라 주택이였다면 맘껏 소리내서 울었겠지
모가디슈,kjm0****,10,사운드도 빵빵하고 내용도 좋고 재밌어요
쌍화점,wpfk****,10,"이 영화가 별로라는 이야기가 많았어가지고 안봤었는데 동성애, 잔인한 장면 등 나쁘지않게 본다면 아주 괜찮게 잘 만든 영화같음 송지효랑 주진모 이목구비도 예쁘고 강한 괜찮은 얼굴인데 조인성 진짜,,,너무 잘생기고 예뻐서 계속 눈이 감 연기도 잘한다는거 처음 알았네,,, 주진모 눈빛 연기도 엄청남"
크루엘라,gun0****,10,크루엘라 죽음 크루엘라 절벽에서 떨어져서 주슴
컨저링 3: 악마가 시켰다,gold****,8,"공포감은 크진 않지만 초반부터 후반까지 괜찮게 있고요로맨스물이라고들 그러시는데 로맨스라고 할만한 요소 많이 안 나오던데요?전체적인 전개도 괜찮았고요다만, 마지막부분에 가서 좀 아쉬운 마무리가 된 것 같고 1편이나 2편에 비해서 무서운느낌이 덜 하긴한데 2편은 좀 어거지로 무서울 것 같은 장면만 마구 넣어놔서 되려 별로였기에 반전요소빼곤 3편이 더 나은 것 같습니다평작 이상은 분명 된다고 생각하고공포영화 좋아하시는 분들에겐돈 안 아까운 것 같습니다물론, 그냥 무조건 피튀기고 깜놀장면만계속 나오고 비명소리만 미친듯이 질러대는영화를 좋아하시면 비추입니다"
비밀은 없다,cova****,10,불감증아내와 돈많고 힘좋은 남자가 만나서 일어나는 안타까운 일.
블랙 위도우,jyyy****,9,부다페스트 씬 10년을 기다렸는데 호크아이는 목소리만 나와서 너무 아쉬움
랑종,zbon****,1,귀신이 막. 창자를 물고뜯는데도 카메라를 안놓음.너무 현실성이 없어서 웃김곡성이 코미디? ㄴㄴ 그건 진짜 작품랑종이 진짜 코미디다 ㅋㅋㅋ여배우 하나 건진 영화
캐리비안의 해적: 죽은 자는 말이 없다,seoh****,5,"캐리비안의 해적 최악인듯 하다.이유1: 설정, 캐릭터 붕괘, 이유2: 매력이 없는 주연(터너,스완 제외.), 이유3: 개인적으로 스토리가 지루하다개인적으로 윌과 에리자베스가 재화하는게 제일 보기 좋았다. 그래도 윌&자베스 커플이 늙은게 아쉽다ㅜㅜ 잭은...캐붕이 심했다.. 결론: 마지막 윌&자베스 커플덕에 5점갑니다~ 6편이 나왔으면 좋겠네요~(이왕이면 터너, 스완으로)"
모가디슈,mira****,10,"신파없이 깔끔한, 더불어 연기와 연출력이 최고인!"
정글 크루즈,jyyy****,8,디즈니답다라는 말이 잘 어울리는 영화
모가디슈,butf****,2,북괴 미화영화 예고편이 다임... 평점 넘높아서 밸런스
모가디슈,kdhc****,1,소말리아 내전때 남북한 대사관 직원들이 서로 도와서 탈출하는 영화더군요. 그이상 다른 내용도 없고 우여곡절도 없습니다.왜 이렇게 만들었는지 짐작은 갑니다.영화 산업은 매너리즘 상태인데 그걸 또 극복하려니 영화가 없는 겁니다.
모가디슈,kkin****,10,오랜만에 좋은 영화 봤네요
모가디슈,byi0****,8,실화바탕 실감난 연출 연기 몰입감 휴머니즘까지
정글 크루즈,arms****,9,에밀리블런트....대박 대박 대박~~~!!!
괴기맨숀,jewe****,7,나름괜찬음   스토리구성도 나쁘지않고  지루하지않게  잘봤음
무간도,ksc3****,10,지금보고있는중...재미있네요...유간도는 뭔가요
모가디슈,yebi****,10,세 번째 보는데 아직도 생생하다 내전속의 갇힌 그들의 두려움과 생존
오만과 편견,miss****,8,
눈을 감다,bear****,1,예의 바른 바로를 위해 1점을 선물합니다 ^^
모가디슈,konm****,10,솔직히 기대안하고봄. 근데 진짜 재밌게봤음. 추천함.
모가디슈,sms9****,10,재미있고 감동있고 오랜만에 인간애를 느끼게하는 영화 였습니다  배우들의  연기도  내용도 짜임새  있었습니다감사합니다추천합니다
모가디슈,qkrg****,10,처음에 살짝 지루했지만 수작 맞구요 조인성 연기만 ...좀
모가디슈,dhej****,10,역시 조인성이 최고에요 모가디슈 진짜
모가디슈,dgsh****,10,배우들이 연기를 너무 잘하신다~~호호호^^
갈매기,qufw****,10,현실에 없길 바라지만 지독하게 현실적이여서 마음이 더 먹먹해지는 영화... 너무 잘봤습니다!
블랙 위도우,kjji****,4,히어로 영화라 개연성 기대 없었지만 레드룸은....너무 갔드라 별로 ㅜ
